games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,,,,,,,,,,,,,59.26970220899966,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,[],[],[],[],[],[],,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,0.02839420799864456,"[-0.11222222222222222, -0.11222222222222222, -0.13666666666666666, -0.22666666666666666, -0.3022222222222222, -0.32666666666666666, -0.3288888888888889, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.35, -0.38, -0.39555555555555555, -0.4033333333333333, -0.4066666666666667, -0.4077777777777778]","[0.09444444444444444, 0.09444444444444444, 0.11, 0.19555555555555557, 0.2833333333333333, 0.3233333333333333, 0.33111111111111113, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.35, 0.37777777777777777, 0.39444444444444443, 0.4033333333333333, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018075000116368756, 0.049389666000934085, 0.09854854100012744, 0.1480545410013292, 0.1974084160010534, 0.2466115000006539, 0.2959225829999923, 0.3444922500002576, 0.3930410410011973, 0.4418670410013874, 0.49040195800080255, 0.5387788750012987, 0.5875421660002758, 0.6369614160012134, 0.687152333000995, 0.7371989580005902, 0.7871320829999604, 0.8375149160001456, 0.8873369160010043]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,,,,,,,,67.86927212500086,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,[],[],[],[],[],[],,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,0.03214154099987354,"[-0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33555555555555555, -0.33111111111111113, -0.32222222222222224, -0.31777777777777777, -0.3111111111111111, -0.30333333333333334, -0.29444444444444445, -0.29, -0.2877777777777778, -0.2877777777777778]","[0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.3, 0.3277777777777778, 0.3477777777777778, 0.3511111111111111, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.3522222222222222, 0.3522222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018983299924002495, 0.05001766699933796, 0.10020437499952095, 0.14993924999907904, 0.19958445799966285, 0.24917433299924596, 0.30003937499895983, 0.3495862499985378, 0.399303707999934, 0.44914070799859473, 0.49906595799984643, 0.5489381669995055, 0.5996147079986258, 0.6493841669998801, 0.6991740419998678, 0.7491453329985234, 0.7995873330000904, 0.850469916998918, 0.899980541998957, 0.9492072920002101, 0.9983424579986604, 1.0487222920000931, 1.0994191669997235, 1.1503522919992974, 1.200856624998778, 1.2519673329989018, 1.3023332499997196]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,0.03702616699956707,"[-0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889]","[0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018845799968403298, 0.05004095799995412, 0.0999299159993825, 0.1498135000001639, 0.19966166599988355, 0.2491057909992378, 0.29884779100029846, 0.34837783299917646, 0.39818333299990627, 0.44934549999925366, 0.5006745829996362]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,,,,,,,,81.3791337090006,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,[],[],[],[],[],[],,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,0.039280833001612336,"[-0.1388888888888889, -0.1388888888888889, -0.14, -0.14, -0.14, -0.14, -0.1688888888888889, -0.3244444444444444, -0.4066666666666667, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4211111111111111, -0.4222222222222222, -0.4222222222222222, -0.4222222222222222, -0.4222222222222222, -0.4211111111111111, -0.41888888888888887, -0.41888888888888887]","[0.17222222222222222, 0.17222222222222222, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446, 0.18222222222222223, 0.24555555555555555, 0.29333333333333333, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.31222222222222223, 0.32555555555555554, 0.3322222222222222, 0.33666666666666667, 0.3411111111111111, 0.35, 0.3566666666666667, 0.3566666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00039437499981431756, 0.04956049999964307, 0.09849237500020536, 0.1475508749990695, 0.19589745899975242, 0.24504241700014973, 0.2940787499992439, 0.34251720899919746, 0.3920773339996231, 0.44150674999946204, 0.4906674590001785, 0.5403137499997683, 0.5894499169990013, 0.6381769999989046, 0.6873861250005575, 0.7368640839995351, 0.7860765000004903, 0.8355917499993666, 0.8853508749998582, 0.9350865420001355, 0.9851947089991882, 1.0342936249999184]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,,,,,,,,92.2946742919994,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,0.04774241700033599,"[-0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42]","[0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018962499962071888, 0.04947041599916702, 0.09788883299916051, 0.14661374999923282, 0.19583433300067554, 0.2448735409998335, 0.29359795799973654, 0.342966707999949, 0.39210533299956296]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,,,,,,,,98.34684129199923,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,[],[],[],[],[],[],,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
