,session,section,type,game,ref_game,move_num,player,start_row,start_col,end_row,end_col,RT,DT,winner,chosen_winner
102,2,2,img,12,5,,,1,0,,,,1.1993939580279402,,AI
103,2,2,img,13,16,,,3,0,,,,1.1122419580060523,,human
104,2,2,img,14,26,,,0,1,,,,1.2968782499956433,,human
105,2,2,img,15,3,,,8,5,,,,1.5961045419971924,,AI
106,2,2,img,16,15,,,9,11,,,,0.8956790830125101,,AI
107,2,2,img,17,8,,,7,1,,,,1.3385276659973897,,human
108,2,2,img,18,6,,,6,9,,,,1.4523100829974283,,human
109,2,2,img,19,18,,,0,12,,,,1.2591414169874042,,human
110,2,2,img,20,22,,,11,9,,,,1.2651377089787275,,human
111,2,2,img,21,28,,,7,6,,,,1.1330549170088489,,AI
112,2,2,img,22,25,,,6,9,,,,1.1756418750155717,,human
113,2,2,img,23,12,,,10,0,,,,1.360690750007052,,human
114,2,2,img,24,23,,,6,3,,,,0.9345354580145795,,AI
115,2,2,img,25,24,,,4,12,,,,1.1853601670009084,,human
116,2,2,img,26,9,,,8,1,,,,1.2505016250070184,,AI
117,2,2,img,27,7,,,10,1,,,,1.538627208006801,,human
118,2,2,img,28,1,,,1,2,,,,1.3787000829761382,,human
119,2,2,img,29,21,,,8,11,,,,1.2917875830025878,,AI
120,2,2,img,30,30,,,0,13,,,,1.4417359170038253,,AI
121,2,3,,1,,1,AI,1,2,0,2,,1.25,human,
122,2,3,,1,,2,human,0,2,0,0,1.3653104590193834,1.4100841670006048,human,
123,2,3,,2,,1,AI,12,11,5,4,,1.25,human,
124,2,3,,2,,2,human,5,4,2,1,4.7705464999889955,4.815256833011517,human,
125,2,3,,2,,3,AI,2,1,1,1,,1.25,human,
126,2,3,,2,,4,human,1,1,0,0,1.6110839160101023,1.6555075829965062,human,
127,2,3,,3,,1,human,1,4,0,3,3.2691328750224784,3.314297125005396,AI,
128,2,3,,3,,2,AI,0,3,0,0,,1.25,AI,
129,2,3,,4,,1,AI,4,14,4,5,,1.25,human,
130,2,3,,4,,2,human,4,5,1,2,3.1156191250192933,3.1602084579935763,human,
131,2,3,,4,,3,AI,1,2,0,2,,1.25,human,
132,2,3,,4,,4,human,0,2,0,0,1.5219565420120489,1.5675395000143908,human,
133,2,3,,5,,1,AI,9,2,5,2,,1.25,human,
134,2,3,,5,,2,human,5,2,4,1,2.8331467079988215,2.877829125005519,human,
135,2,3,,5,,3,AI,4,1,1,1,,1.25,human,
136,2,3,,5,,4,human,1,1,0,0,2.3979282079963014,2.442674540972803,human,
137,2,3,,6,,1,human,5,6,1,2,10.62954029199318,10.6741799589945,human,
138,2,3,,6,,2,AI,1,2,0,1,,1.25,human,
139,2,3,,6,,3,human,0,1,0,0,1.903258874983294,1.9487320419866592,human,
140,2,3,,7,,1,human,12,2,1,2,3.515705583995441,3.5607052090053912,human,
141,2,3,,7,,2,AI,1,2,0,2,,1.25,human,
142,2,3,,7,,3,human,0,2,0,0,1.655943040997954,1.7008542909752578,human,
143,2,3,,8,,1,human,1,3,1,1,2.5855782909784466,2.6302284999983385,AI,
144,2,3,,8,,2,AI,1,1,0,0,,1.25,AI,
145,2,3,,9,,1,human,1,1,0,0,1.2803042909945361,1.325404333008919,human,
146,2,3,,10,,1,AI,10,5,6,5,,1.25,AI,
147,2,3,,10,,2,human,6,5,6,1,2.385626625007717,2.4311344580200966,AI,
148,2,3,,10,,3,AI,6,1,2,1,,1.25,AI,
149,2,3,,10,,4,human,2,1,2,0,6.254132165980991,6.2988387499935925,AI,
150,2,3,,10,,5,AI,2,0,0,0,,1.25,AI,
151,2,3,,11,,1,human,13,7,13,0,1.466860957996687,1.511474917002488,human,
152,2,3,,11,,2,AI,13,0,4,0,,1.25,human,
153,2,3,,11,,3,human,4,0,0,0,2.0549344169849064,2.1000574589997996,human,
154,2,3,,12,,1,human,0,10,0,0,1.5271616660174914,1.5717193330056034,human,
155,2,3,,13,,1,AI,14,1,11,1,,1.25,AI,
156,2,3,,13,,2,human,11,1,11,0,3.734859292017063,3.7796886670112144,AI,
157,2,3,,13,,3,AI,11,0,0,0,,1.25,AI,
158,2,3,,14,,1,human,0,9,0,0,1.3810577080002986,1.4258056669787038,human,
159,2,3,,15,,1,human,1,8,1,1,1.7126554159913212,1.758470499975374,human,
160,2,3,,15,,2,AI,1,1,0,1,,1.25,human,
161,2,3,,15,,3,human,0,1,0,0,1.7688300419831648,1.8138164170086384,human,
162,2,3,,16,,1,AI,8,2,4,2,,1.25,human,
163,2,3,,16,,2,human,4,2,4,1,3.7028367910243105,3.747449000016786,human,
164,2,3,,16,,3,AI,4,1,2,1,,1.25,human,
165,2,3,,16,,4,human,2,1,1,1,2.9753560409881175,3.020155665988568,human,
166,2,3,,16,,5,AI,1,1,1,0,,1.25,human,
167,2,3,,16,,6,human,1,0,0,0,1.8077233749791048,1.8530773339734878,human,
168,2,3,,17,,1,AI,1,14,0,13,,1.25,human,
169,2,3,,17,,2,human,0,13,0,0,1.6136992919782642,1.659054624993587,human,
170,2,3,,18,,1,human,1,8,1,2,4.430594208010007,4.476323083013995,human,
171,2,3,,18,,2,AI,1,2,0,1,,1.25,human,
172,2,3,,18,,3,human,0,1,0,0,1.7112124170234893,1.7564393330249004,human,
173,2,3,,19,,1,human,9,10,9,1,4.738662290998036,4.783519749995321,human,
174,2,3,,19,,2,AI,9,1,7,1,,1.25,human,
175,2,3,,19,,3,human,7,1,2,1,2.0538047080044635,2.0985650829970837,human,
176,2,3,,19,,4,AI,2,1,2,0,,1.25,human,
177,2,3,,19,,5,human,2,0,0,0,1.5167352500138804,1.5615276250173338,human,
178,2,3,,20,,1,AI,10,7,10,6,,1.25,human,
179,2,3,,20,,2,human,10,6,5,6,3.0376241670164745,3.0822540000081062,human,
180,2,3,,20,,3,AI,5,6,5,0,,1.25,human,
181,2,3,,20,,4,human,5,0,0,0,1.9621412089909427,2.0073094590043183,human,
182,2,3,,21,,1,human,5,1,2,1,2.050823457975639,2.095478124974761,human,
183,2,3,,21,,2,AI,2,1,0,1,,1.25,human,
184,2,3,,21,,3,human,0,1,0,0,1.6134120000060648,1.6588695000100415,human,
185,2,3,,22,,1,human,8,2,2,2,1.5177629590034485,1.5622995840094518,AI,
186,2,3,,22,,2,AI,2,2,0,0,,1.25,AI,
187,2,3,,23,,1,AI,2,11,2,2,,1.25,human,
188,2,3,,23,,2,human,2,2,0,0,2.921474125003442,2.966076417011209,human,
189,2,3,,24,,1,AI,4,14,4,3,,1.25,human,
190,2,3,,24,,2,human,4,3,2,1,4.438697332981974,4.484159790998092,human,
191,2,3,,24,,3,AI,2,1,1,1,,1.25,human,
192,2,3,,24,,4,human,1,1,0,0,1.8474504589976277,1.8920798340113834,human,
193,2,3,,25,,1,human,12,7,8,3,2.0546482089848723,2.0998732919979375,AI,
194,2,3,,25,,2,AI,8,3,5,3,,1.25,AI,
195,2,3,,25,,3,human,5,3,3,1,2.5946461250132415,2.639146667002933,AI,
196,2,3,,25,,4,AI,3,1,2,1,,1.25,AI,
197,2,3,,25,,5,human,2,1,2,0,8.30510850000428,8.349916166014737,AI,
198,2,3,,25,,6,AI,2,0,0,0,,1.25,AI,
199,2,3,,26,,1,AI,13,3,12,3,,1.25,human,
200,2,3,,26,,2,human,12,3,4,3,1.7104018749960233,1.7551422079850454,human,
201,2,3,,26,,3,AI,4,3,1,3,,1.25,human,
202,2,3,,26,,4,human,1,3,1,2,6.008474958012812,6.052955374994781,human,
203,2,3,,26,,5,AI,1,2,0,1,,1.25,human,
204,2,3,,26,,6,human,0,1,0,0,1.5701366249995772,1.615300166013185,human,
205,2,3,,27,,1,human,9,8,2,8,1.7580812090018298,1.8024779589904938,human,
206,2,3,,27,,2,AI,2,8,1,7,,1.25,human,
207,2,3,,27,,3,human,1,7,1,2,3.4134262910229154,3.458113458007574,human,
208,2,3,,27,,4,AI,1,2,1,1,,1.25,human,
209,2,3,,27,,5,human,1,1,0,0,1.8563338330131955,1.901474624988623,human,
210,2,3,,28,,1,AI,13,12,12,12,,1.25,human,
